1996|Ed12|ledizes1996rp-2|On the three-dimensional instability of an elliptical vortex subjected to stretching|Auledizes Aurossi Aumoffatt|Stpub|8|2084|2090|Rsno|Pppd|Dr1||
2000|Ed12|loiseleux2000rp-1|Absolute and convective instabilities of a swirling jet&#47;wake shear layer|Auloiseleux Audelbende Auhuerre|Stpub|12|375|380|Rsno|Pppd|Dr1||
1996|Ed14|manneville1996rp-1|Phase turbulence in the two-dimensional complex Ginzburg-Landau equation|Aumanneville Auchate|Stpub|96|30|46|Rsno|Pppd|Dr2||
1996|Ed6|lemaitre1996rp-1|Cluster expansion for collective behavior in discrete-space dynamical systems|Aulemaitre Auchate Aumanneville|Stpub|77|486|489|Rsno|Pppd|Dr2||
1998|Ed6|lemaitre1998rp-1|Nonperturbative renormalization group for chaotic coupled map lattices|Aulemaitre Auchate|Stpub|80|5528|5531|Rsno|Pppd|Dr2||
1999|Ed6|lemaitre1999rp-1|Phase ordering and onset of collective behavior in chaotic coupled map lattices|Aulemaitre Auchate|Stpub|82|1140|1143|Rsno|Pppd|Dr2||
1996|Ed18|ledizes1996rp-1|Linear global modes in spatially - developing media|Auledizes Auhuerre Auchomaz Aumonkewitz|Stpub|354|169|212|Rsno|Pppd|Dr3||
2003|Ed23|lauga2003rp-1|The decay of stabilizability with Reynolds number in models of spatially developing flows|Aulauga Aubewley|Stpub|459|2077|2095|Rsno|Pppd|Dr9||
2004|Ed49|manneville2004rp-1|Spots and turbulent domains in a model of transitional plane Couette flow|Aumanneville|Stpub|18|169|181|Rsno|Pppd|Dr2||
2007|Ed60|violetter2007rp-1|Computation of vortex-induced vibrations of long structures using a wake oscillator model &#58; comparison with DNS and experiments|Auvioletter Audelangre Auszydlowski|Stpub|85|1134|1141|Rsno|Pppd|Dr5|Kw10|
2006|Ed50|sellier2006rp-2|Migration of a solid conducting sphere immersed in a liquid metal near a plane conducting solid wall under the action of uniform ambient electric and magnetic fields|Ausellier|Stpub|42&#40;2-3&#41;|317|326|Rsno|Ppno|Dr7||
2006|Ed58|sellier2006rp-3|Slow viscous migration of bubbles near a plane solid wall under a gravity and&#47;or external flow field|Ausellier|Stpub|23|349|362|Rsno|Ppno|Dr7||
2003|Ed36|schmid2003rp-1|Transient growth before coupled-mode flutter|Auschmid Audelangre|Stpub|70|894|901|Rsno|Pppd|Dr5||
2001|Ed24|delangre2001rp-3|The effect of dynamical parameters on precession in rotary drilling|Autheron Audelangre Auputot|Stpub|123|181|186|Rsno|Pppd|Dr5||
2007|Ed57|lemaitrec2007rp-1|Thin water film around a cable subject to wind|Aulemaitrec Auhemon Audelangre|Stpub|95|1259|1271|Rsno|Pppd|Dr5||
2007|Ed40|hemon2007rp-1|Aeroelastic instability in jet-plate interaction|Auantoine Auhemon Audelangre|Stpub|335|691|695|Rsno|Pppd|Dr5|Kw15|
2007|Ed57|hemon2007rp-2|Simulation of a spatially correlated turbulent velocity field using biorthogonal decomposition|Auhemon Ausanti|Stpub|95|21|29|Rsno|Ppno|Dr5||
2007|Ed2|schmid2007rp-1|Nonmodal Stability Theory|Auschmid|Stpub|39|129|162|Rsno|Ppno|Dr3||
2002|Ed1|schmid2002rp-1|On the stability of a falling liquid curtain|Auschmid Auhenningson|Stpub|463|163|171|Rsno|Pppd|Dr3||
2005|Ed1|ruyer2005rp-1|On the speed of solitary waves running down a vertical wall|Auruyer Aumanneville|Stpub|531|181|190|Rsno|Pppd|Dr2||
2004|Ed6|ruyer2004rp-2|Low-dimensional models for vertically falling viscous films|Auruyer Aumanneville|Stpub|93|1|1|Rsno|Pppd|Dr2||
2000|Ed30|ruyer2000rp-1|Improved modeling of film flows down inclined planes|Auruyer Aumanneville|Stpub|15|357|369|Rsno|Pppd|Dr2||
1995|Ed14|pouliquen1995rp-2|Propagative Sine-Gordon solitons in the spatially forced Kelvin-Helmholtz instability|Aupouliquen Auhuerre Auchomaz|Stpub|80|333|355|Rsno|Pppd|Dr6||
2001|Ed14|pier2001rp-2|Bifurcation to fully nonlinear synchronized structures in slowly varying media|Aupier Auhuerre Auchomaz|Stpub|148|49|96|Rsno|Pppd|Dr3|Kw1 Kw4 Kw2|
2002|Ed1|olendraru2002rp-1|Viscous effects in the absolute-convective instability of the Batchelor vortex|Auolendraru Ausellier|Stpub|459|371|396|Rsno|Pppd|Dr1||
2002|Ed1|moffatt2002rp-1|Migration of an insulating particle under the action of uniform ambient electric and magnetic fields. Part 1. General theory|Aumoffatt Ausellier|Stpub|464|279|286|Rsno|Pppd|Dr7||
2001|Ed1|pier2001rp-3|Nonlinear self-sustained structures and fronts in spatially developing wake flows|Aupier Auhuerre|Stpub|435|145|174|Rsno|Pppd|Dr3||
1995|Ed1|huerre1995rp-1|Primary and secondary instabilities of the asymptotic suction boundary layer on a curved plate|Auhuerre Aupark|Stpub|283|249|272|Rsno|Pppd|Dr10||
