2015|S.&nbsp;Michelin and E.&nbsp;Lauga.|Autophoretic locomotion from geometric asymmetry|The&nbsp;European&nbsp;Physical&nbsp;Journal&nbsp;E,|38 - 7||michelin2015rp-3pp.pdf|
2015|S.&nbsp;Ortiz, C.&nbsp;Donnadieu and J.&nbsp;M.&nbsp;Chomaz.|Three-dimensional instabilities and optimal perturbations of a counter-rotating vortex pair in stratified flows|Physics&nbsp;of&nbsp;Fluids,|27 - 106603||ortiz2015rp-1pp.pdf|
2015|P.&nbsp;Otheguy, J.&nbsp;M.&nbsp;Chomaz, P.&nbsp;Augier, Y.&nbsp;Kimura and P.&nbsp;Billant.|Pairing of two vertical columnar vortices in a stratified fluid|European&nbsp;Journal&nbsp;of&nbsp;Mechanics&nbsp;B/Fluids,|49:413-425||otheguy2015rp-1pp.pdf|
2015|M.&nbsp;Piñeirua, O.&nbsp;Doaré and S.&nbsp;Michelin.|Influence and optimization of the electrodes position in a piezoelectric energy harvesting flag|Journal&nbsp;of&nbsp;Sound&nbsp;and&nbsp;Vibration,|346:200-215||pineirua2015rp-1pp.pdf|
2015|P.&nbsp;Raux, G.&nbsp;Dupeux, C.&nbsp;Clanet and D.&nbsp;Quere.|Successive instabilities of confined Leidenfrost puddles|EPL&nbsp;-&nbsp;Europhysics&nbsp;Letters,|112 - 26002||raux2015rp-1pp.pdf|
2015|K.&nbsp;Seshasyanan and P.&nbsp;Manneville.|Laminar-turbulent patterningin wall-bounded shear flows&#58; a Galerkin model|Fluid&nbsp;Dynamics&nbsp;Research,|47 - 035512||seshasyanan2015rp-1pp.pdf|
2015|L.&nbsp;Tadrist, K.&nbsp;Julio, M.&nbsp;Saudreau and E.&nbsp;de&nbsp;Langre.|Leaf flutter by torsional galloping&#58; Experiments and model|Journal&nbsp;of&nbsp;Fluids&nbsp;and&nbsp;Structures,|56:1-10||tadrist2015rp-1pp.pdf|
2015|B.&nbsp;Theckes, X.&nbsp;Boutillon and E.&nbsp;de&nbsp;Langre.|On the efficiency and robustness of damping by branching|Journal&nbsp;of&nbsp;Sound&nbsp;and&nbsp;Vibration,|357:35-50||theckes2015rp-1pp.pdf|
2015|Y.&nbsp;Xia and S.&nbsp;Michelin.|Fluid-solid-electric lock-in of energy harvesting piezoelectric flags|Physical&nbsp;Review&nbsp;Applied,|3 - 014009||xia2015rp-1pp.pdf|
2015|E.&nbsp;Yariv and S.&nbsp;Michelin.|Phoretic self-propulsion at large P&#233;clet numbers|Journal&nbsp;of&nbsp;Fluid&nbsp;Mechanics,|768 - R1||yariv2015rp-1pp.pdf|
2015|E.&nbsp;Yim and P.&nbsp;Billant.|On the mechanism of the Gent-McWilliams instability of a columnar vortex in stratifies rotating fluids|Journal&nbsp;of&nbsp;Fluid&nbsp;Mechanics,|780:5-44||yim2015rp-1pp.pdf|
2014|P.&nbsp;Augier, P.&nbsp;Billant, M.&nbsp;E.&nbsp;Negretti and J.&nbsp;M.&nbsp;Chomaz.|Experimental study of stratified turbulence forced with columnar dipoles|Physics&nbsp;of&nbsp;Fluids,|26 - 046603||augier2014rp-1pp.pdf|
2014|A.&nbsp;Barbacci, J.&nbsp;Diener, P.&nbsp;Hémon, B.&nbsp;Adam, N.&nbsp;Donès, L.&nbsp;Reveret and B.&nbsp;Moulia.|A robust videogrametric method for the velocimetry of wind-induced motion in trees|Agricultural&nbsp;and&nbsp;Forest&nbsp;Meteorology,|184:220-229|||
2014|A.&nbsp;Benusiglio, D.&nbsp;Quere and C.&nbsp;Clanet.|Explosions at the water surface|Journal&nbsp;of&nbsp;Fluid&nbsp;Mechanics,|752:123-139||benusiglio2014rp-1pp.pdf|
2014|P.&nbsp;Billant, A.&nbsp;Deloncle, J.&nbsp;M.&nbsp;Chomaz and P.&nbsp;Otheguy.|Towards a theory for vortex filaments in stratifiedrotating fluids|Fluid&nbsp;Dynamics&nbsp;Research,|46 - 061424||billant2014rp-1pp.pdf|
2014|F.&nbsp;Bozsak, J.&nbsp;M.&nbsp;Chomaz and A.&nbsp;Barakat.|Modeling the transport of drugs eluted from stents&#58; physical phenomena driving drug distribution in the arterial wall|Biomechanics&nbsp;and&nbsp;Modeling&nbsp;In&nbsp;Mechanobiology,|13:327-347||bozsak2014rp-1pp.pdf|
2014|J.&nbsp;M.&nbsp;Chomaz.|Science and Art of SculpturingFluids|Leonardo,|47:66-67||chomaz2014rp-1pp.pdf|
2014|B.&nbsp;Darbois-Texier, C.&nbsp;Cohen, G.&nbsp;Dupeux, D.&nbsp;Quere and C.&nbsp;Clanet.|On the size of sports fields|New&nbsp;journal&nbsp;of&nbsp;Physics,|16 - 033039||darboistexier2014rp-1pp.pdf|
2014|G.&nbsp;Dupeux, P.&nbsp;Bourrianne, Q.&nbsp;Magdelaine, C.&nbsp;Clanet and D.&nbsp;Quere.|Propulsion on a superhydrophobic ratchet|Scientific&nbsp;Reports,|4 - 5280||dupeux2014rp-1pp.pdf|
2014|D.&nbsp;Faranda, V.&nbsp;Lucarini, P.&nbsp;Manneville and J.&nbsp;Wouters.|On using extreme values to detect global stability thresholds in multi-stable systems&#58; The case of transitional plane Couette flow|Chaos,&nbsp;Solitons&nbsp;&&nbsp;Fractals,|64:26-35||faranda2014rp-1pp.pdf|
2014|F.&nbsp;Gallaire, P.&nbsp;Meliga, P.&nbsp;Laure and C.&nbsp;Baroud.|Marangoni induced force on a drop in a Hele Shaw cell|Physics&nbsp;of&nbsp;Fluids,|26 - 062105||gallaire2014rp-1pp.pdf|
2014|A.&nbsp;Le&nbsp;Goff, D.&nbsp;Quere and C.&nbsp;Clanet.|Shooting in a foam|Soft&nbsp;Matter,|10:6696-6704||goff2014rp-1pp.pdf|
2014|C.&nbsp;Grouthier, S.&nbsp;Michelin, R.&nbsp;Bourguet, Y.&nbsp;Modarres-Sadeghi and E.&nbsp;de&nbsp;Langre.|On the efficiency of energy harvesting using vortex-induced vibrations of cables|Journal&nbsp;of&nbsp;Fluids&nbsp;and&nbsp;Structures,|49:427-440||grouthier2014rp-1pp.pdf|
2014|Y.&nbsp;Hwang, S.&nbsp;Kumar and A.&nbsp;Barakat.|Intracellular regulation of cell signaling cascades&#58; how location makes a difference|Journal&nbsp;of&nbsp;Mathematical&nbsp;Biology,|69:213-242||hwang2014rp-1pp.pdf|
2014|Z.&nbsp;Izri, M.&nbsp;N.&nbsp;Van&nbsp;der&nbsp;Lindern, S.&nbsp;Michelin and O.&nbsp;Dauchot.|Self-propulsion of pure water droplets by spontaneous Marangoni stress driven motion|Physical&nbsp;Review&nbsp;Letters,|113 - 248302||izri2014rp-1pp.pdf|
2014|S.&nbsp;Jung, C.&nbsp;Clanet and J.&nbsp;Bush.|Capillary instability on an elastic helix|Soft&nbsp;Matter,|10:3225-3228||jung2014rp-1pp.pdf|
2014|L.&nbsp;Lopez, C.&nbsp;Eloy, S.&nbsp;Michelin and E.&nbsp;de&nbsp;Langre.|Drag reduction from bending to pruning|Europhysics&nbsp;Letters,|108:4800-0||lopez2014rp-2pp.pdf|
2014|C.&nbsp;Der&nbsp;Loughian, L.&nbsp;Tadrist, J.&nbsp;M.&nbsp;Allain, J.&nbsp;Diener, B.&nbsp;Moulia and E.&nbsp;de&nbsp;Langre.|Measuring local and global vibration modes in model plants|Comptes-Rendus&nbsp;Mécanique,|342:1-7||loughian2014rp-1pp.pdf|
